id,name,symbol,num_market_pairs,infinite_supply,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,quote_last_updated
3890,Polygon,MATIC,1441,False,41,2024-09-05T05:19:00.000Z,0.3765040370161,269830748.41299325,11.4383,-0.08276109,-3.43681027,-14.11603212,-7.9445247,-24.58744197,-48.05484994,1770237740.3560548,0.0884,3765040370.16,2024-09-05T05:19:00.000Z
4642,Hedera,HBAR,280,False,42,2024-09-05T05:20:00.000Z,0.0488521374754736,31820760.56013728,-10.8635,0.39743154,-0.01496286,-5.03236192,-11.75865595,-28.62688139,-51.87700619,1752643940.818154,0.0875,2442606873.77,2024-09-05T05:20:00.000Z
11841,Arbitrum,ARB,993,False,43,2024-09-05T05:19:00.000Z,0.4958922566635068,150172268.38553974,-5.303,-0.17809379,2.07715396,-5.05215659,-2.62282608,-27.73995908,-54.68801143,1733703407.005349,0.0866,4958922566.64,2024-09-05T05:19:00.000Z
3077,VeChain,VET,294,False,44,2024-09-05T05:19:00.000Z,0.0210060022735957,17042502.01606733,-2.021,0.14372575,1.3092359,-7.57943585,-5.96808838,-12.62488739,-41.45185469,1701171959.0913064,0.0851,1821485796.74,2024-09-05T05:19:00.000Z
7226,Injective,INJ,401,False,45,2024-09-05T05:19:00.000Z,17.146654177728013,100224893.03236368,26.0286,0.0216897,9.91805499,-6.14765331,3.19071042,-13.08333303,-40.02078765,1675190042.6192226,0.0837,1714665417.77,2024-09-05T05:19:00.000Z
11840,Optimism,OP,566,False,46,2024-09-05T05:19:00.000Z,1.3388416690265936,111448640.02829944,-6.9637,-0.18640963,0.93943408,-6.27757799,3.47285088,-7.63851377,-46.22736736,1590003634.6695242,0.0795,5750281182.99,2024-09-05T05:19:00.000Z
3794,Cosmos,ATOM,804,True,47,2024-09-05T05:19:00.000Z,4.059410425647918,120252478.18202168,5.1164,0.99235762,0.24684499,-12.23593369,-16.33378052,-32.63395282,-53.0773009,1586962383.4599702,0.0793,1586962383.46,2024-09-05T05:19:00.000Z
28752,dogwifhat,WIF,507,False,48,2024-09-05T05:20:00.000Z,1.57508889971917,328565275.71066475,14.6765,0.08178209,5.12294422,-0.73583745,12.53153908,-14.39923358,-51.9453496,1573270501.861642,0.0786,1573270501.86,2024-09-05T05:20:00.000Z
1518,Maker,MKR,501,False,49,2024-09-05T05:19:00.000Z,1657.3846571807085,46581213.61925491,-25.217,-0.19434171,0.57083643,-8.42137176,-16.15905824,-28.34347064,-36.38106331,1542444360.5367846,0.0771,1666627891.41,2024-09-05T05:19:00.000Z
5632,Arweave,AR,161,False,50,2024-09-05T05:19:00.000Z,20.93785730470359,22470563.24346372,-26.5634,-0.16773102,1.95315012,-8.08289022,2.516373,-9.75034119,-49.67834117,1374621964.809904,0.0687,1381898582.11,2024-09-05T05:19:00.000Z
